review,general
kamar baguss rekomen lah buat nginap kamar mandi nya kalo di beri wangi lebih nyaman,pos
sayang gak tisu kamar kamar mandi sedikit bau,neut
reception kurang ramah kamar bau asap ada kecoa kamar mandi,neg
kurang muas apa apa suruh bayar handukpin biaya tambah,neg
hot shower fungsi,neg
layan recepsionis sih ya ramah baik banget recommend sayang kamar kurang sesuai detail airy terus nggada snack alat kamar mandi dr airynya rapi sih kurang wangi aja khusus kamar mandi depan tingkat ya fasilitas,neg
kamar panas ac rusak kamar mandi bocor ga nyaman banget untung cm transit aja,pos
cozy pas deh buat yg budget cuman ga selimut,neut
layan tempat bagus saja bed covernya sudah mulai kurang bersih sudah warna putih cerah ada bercak hitam mngkin ada baharu cuci bed covernya bersih,neg
nyaman bersih kamar perlu tingkat,neg
staf kurang ramah sarung bantal kotor pintu kamar mandi rusak,neg
toilet kotor waktu sy hotel jam utk check in hrs mnggu jam trus ga berapa lama mas bilang hrs nggu stengah jam lg klo mau early check in hrs bayar rb padahal kamar jg sdh ready sdh capek jalan akhir bayar rb baru kali dpt pngalaman kurng mnyenangkn hotel airy next ga hotel lg,neg
nyaman semua bersih sayang air minum wifi sedia,neg
sesuai deskripsi inap ada cemilan alat mandi bersih tidak pakai sarung bantal airy hotel airy harmoni hayam wuruk saya kecewa,neg
overall sesuai harga cuma kok sekarang tidak cemilan,neg
ac temperatur derajat tv ga bisa nyala wifi sih,neut
checkin cukup mudah cepat pertama kamar acnya sama sekali dingin begitu komplain langsung pindah layan staf cukup ramah ruang sedikit kotor meja lantai debu,neg
layan ramah harga jangkau kamar bersih belum free wifi,neg
air kecil sprei gak ganti ada noda bekas tamu belum,neut
bersih ac dingin mesti service,neg
ac kurang dinginlantai kamar tdk pernah sih alias kotortapi over all layan jaga y ramah sopan mohon d tingkat kualitas kamar,neg
kamar sisa ac panas layan minimal,neut
kamar sesuai gambarkurang bersih kasur empuk,neg
wifi mati toilet rusak,neut
so far good cuma ruang gelap ac nya begitu dingin,neg
waktu kamar mandi temu darah tempel selang siram wc nya,neut
kecewa karna layan nya burukmulai securitystaff hotel receptionistnya ga yang ramah sama sekalipesan makan lama bangetmesti telpon dulu beberapa kalimohon sekali tingkat dalam bidang layan,neg
bagus sih seluruh mungkin wifi nya yg kurang belum ke kamar kemarin mungkin ga untung dapet kamar yg tv nya kurang jernih,neg
snack ada banding airy jogya selalu ready alangkah baik sprei bed cover warna putih tdk guna warna coklat,neg
lumayan walaupun sprei kurang bersih tidak sedia selimut,neg
